Date,Solar_Index,Temperature,Humidity,Wind_Speed,Precipitation,Location
2023-06-27,2.5222,26.25,87.71,2.44,64.05,Ghatkopar
2023-06-28,0.9487,27.11,87.84,4.65,55.61,Ghatkopar
2023-06-29,2.4706,26.83,84.97,4.41,20.18,Ghatkopar
2023-06-30,1.1882,26.79,90.88,4.57,98.85,Ghatkopar
2023-07-01,1.4683,27.0,89.98,4.56,37.16,Ghatkopar
2023-07-02,3.0977,27.56,88.65,4.26,26.88,Ghatkopar
2023-07-03,5.2339,27.63,89.9,3.67,40.78,Ghatkopar
2023-07-04,2.581,27.26,91.89,3.1,33.35,Ghatkopar
2023-07-05,2.5968,27.05,90.24,3.16,18.17,Ghatkopar
2023-07-06,3.1171,26.59,91.41,3.2,41.31,Ghatkopar
2023-07-07,4.3145,27.11,93.43,5.05,58.42,Ghatkopar
2023-07-08,4.8626,27.09,89.74,5.24,24.86,Ghatkopar
2023-07-09,3.503,26.84,89.38,4.74,13.56,Ghatkopar
2023-07-10,5.2447,26.98,88.89,3.84,6.49,Ghatkopar
2023-07-11,4.1304,26.95,88.96,3.35,5.06,Ghatkopar
2023-07-12,2.8644,27.05,89.6,2.71,8.38,Ghatkopar
2023-07-13,4.4095,27.02,89.12,2.72,23.03,Ghatkopar
2023-07-14,2.4456,27.05,90.31,3.24,30.68,Ghatkopar
2023-07-15,4.1815,27.03,89.76,3.57,14.66,Ghatkopar
2023-07-16,3.3175,26.84,91.59,3.47,25.31,Ghatkopar
2023-07-17,2.3395,26.91,90.12,4.04,52.73,Ghatkopar
2023-07-18,1.8374,26.62,92.45,4.93,129.54,Ghatkopar
2023-07-19,1.0018,26.36,92.73,5.12,136.7,Ghatkopar
2023-07-20,2.6976,26.23,92.97,5.14,63.91,Ghatkopar
2023-07-21,2.7026,25.9,93.01,4.13,78.36,Ghatkopar
2023-07-22,1.8326,25.89,93.97,4.33,60.22,Ghatkopar
2023-07-23,3.1332,26.51,92.77,5.0,48.71,Ghatkopar
2023-07-24,3.5729,26.58,92.2,4.78,61.74,Ghatkopar
2023-07-25,3.1829,26.07,93.85,3.85,60.93,Ghatkopar
2023-07-26,1.9342,26.16,93.55,4.15,112.09,Ghatkopar
2023-07-27,1.4894,26.18,93.2,4.55,80.52,Ghatkopar
2023-07-28,2.4101,26.27,92.03,4.47,52.54,Ghatkopar
2023-07-29,3.7253,26.31,90.8,4.34,25.27,Ghatkopar
2023-07-30,4.9572,26.2,91.69,4.23,18.35,Ghatkopar
2023-07-31,4.2034,26.45,91.64,4.5,15.75,Ghatkopar
2023-08-01,2.9172,26.35,91.56,4.71,16.14,Ghatkopar
2023-08-02,2.7101,26.03,91.66,4.44,7.61,Ghatkopar
2023-08-03,3.2702,26.02,90.48,4.27,5.84,Ghatkopar
2023-08-04,3.0662,26.36,90.24,4.51,13.43,Ghatkopar
2023-08-05,4.1035,26.13,90.23,4.05,8.19,Ghatkopar
2023-08-06,3.5479,26.06,89.87,4.22,5.59,Ghatkopar
2023-08-07,3.7476,25.96,89.58,4.09,3.39,Ghatkopar
2023-08-08,3.9326,26.17,89.06,3.98,4.73,Ghatkopar
2023-08-09,4.4302,26.12,90.39,3.16,5.86,Ghatkopar
2023-08-10,5.2265,26.0,90.12,2.91,9.57,Ghatkopar
2023-08-11,5.2046,26.32,87.94,2.83,4.05,Ghatkopar
2023-08-12,5.0035,26.13,87.7,3.1,4.83,Ghatkopar
2023-08-13,5.4043,25.74,89.2,3.28,5.99,Ghatkopar
2023-08-14,4.8168,25.92,88.41,3.33,2.91,Ghatkopar
2023-08-15,4.7635,26.09,87.29,3.09,2.44,Ghatkopar
2023-08-16,5.1703,26.13,87.73,2.77,3.93,Ghatkopar
2023-08-17,5.1787,26.2,87.82,2.83,2.77,Ghatkopar
2023-08-18,4.6387,26.09,88.29,3.02,2.64,Ghatkopar
2023-08-19,3.3274,26.44,88.07,3.34,6.83,Ghatkopar
